epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3748.31,2.54075,10.6112,2.76817,0.66941,0.12211,0.10875,0.07982,2.38925,12.7621,2.70987,0.000138109,0.000138109,0.000138109
2,7233.85,2.47484,8.68115,2.73714,0.66934,0.2,0.1922,0.13435,2.43953,10.674,2.73738,0.000263392,0.000263392,0.000263392
3,10700.3,2.49878,7.55116,2.71568,0.61846,0.26387,0.23882,0.17021,2.36471,9.54509,2.66542,0.000374914,0.000374914,0.000374914
4,14152.9,2.42246,6.57986,2.64849,0.60988,0.29224,0.30736,0.22327,2.29132,7.86571,2.62438,0.000355076,0.000355076,0.000355076
5,17615.4,2.42285,5.80861,2.62295,0.53158,0.3893,0.37979,0.26585,2.23736,6.53215,2.53732,0.000334434,0.000334434,0.000334434
6,21104.4,2.3336,4.95263,2.54718,0.53495,0.45113,0.44813,0.31899,2.15447,5.70741,2.47335,0.000313792,0.000313792,0.000313792
7,24551.6,2.30499,4.71322,2.54962,0.5715,0.47825,0.51516,0.36409,2.11733,4.89999,2.43568,0.000293151,0.000293151,0.000293151
8,28020.2,2.26893,4.19072,2.48015,0.5938,0.5144,0.55547,0.39866,2.06345,4.34285,2.37762,0.000272509,0.000272509,0.000272509
9,31474,2.21436,3.98852,2.46407,0.6187,0.57701,0.61918,0.45417,2.00671,3.82612,2.30315,0.000251868,0.000251868,0.000251868
10,34934.9,2.16217,3.67203,2.42767,0.63361,0.60087,0.64541,0.47859,1.9895,3.53599,2.28315,0.000231226,0.000231226,0.000231226
11,38357.4,2.06469,3.80108,2.43984,0.64401,0.61047,0.66316,0.48659,1.94331,3.34951,2.29185,0.000210585,0.000210585,0.000210585
12,41777.5,1.99067,3.43139,2.40503,0.68831,0.64589,0.70489,0.53989,1.82666,3.00871,2.18896,0.000189943,0.000189943,0.000189943
13,45195.7,1.95836,3.17911,2.36994,0.70035,0.67288,0.73613,0.57165,1.80005,2.70493,2.15533,0.000169302,0.000169302,0.000169302
14,48615.9,1.8893,2.88301,2.30601,0.71076,0.7003,0.76634,0.60313,1.72181,2.53532,2.09542,0.00014866,0.00014866,0.00014866
15,52044.1,1.86391,2.7144,2.28912,0.72008,0.69885,0.77066,0.62081,1.68148,2.36897,2.05318,0.000128019,0.000128019,0.000128019
16,55465.1,1.81451,2.58636,2.2442,0.73988,0.72548,0.79277,0.64324,1.6376,2.25995,2.03102,0.000107378,0.000107378,0.000107378
17,58887,1.77882,2.47197,2.23269,0.73946,0.74563,0.80965,0.66204,1.62941,2.13771,2.00563,8.6736e-05,8.6736e-05,8.6736e-05
18,62476.4,1.75633,2.36839,2.20934,0.77615,0.74361,0.82281,0.68139,1.56623,2.05858,1.97153,6.60945e-05,6.60945e-05,6.60945e-05
19,66272.3,1.70772,2.27657,2.18184,0.76894,0.77373,0.83667,0.69939,1.53086,1.99313,1.94365,4.5453e-05,4.5453e-05,4.5453e-05
20,69816.1,1.65526,2.18306,2.14907,0.79267,0.74963,0.84178,0.71087,1.4929,1.94125,1.92059,2.48115e-05,2.48115e-05,2.48115e-05
